"Name","Action","Direction"
"{4FB06C21-EA09-4721-9CA6-5A29A761A50B}","Allow","Outbound"
"{AD56AD25-2C61-4BFD-A1A9-6F8AF9409348}","Allow","Outbound"
"{250B3488-AA2D-4F28-8617-E229BA6CBBD6}","Allow","Outbound"
"{DDAC28C1-EA80-49C7-A067-BD4236543BAB}","Allow","Outbound"
"{D0149A86-651A-4E2E-9956-5A0F68E77A9B}","Allow","Outbound"
"{E50278AF-63C2-47CD-8C40-B78FD8441D0D}","Allow","Outbound"
"{806E9468-EEF0-4BF3-8488-569F5D316F50}","Allow","Outbound"
"{D377C525-A67D-4E75-B4B0-FFB44AC4F964}","Allow","Outbound"
"{0630F9F9-FE9F-4D40-9A39-51385217420B}","Allow","Outbound"
"{965BDBE7-B7F9-407C-8728-C70330303C5C}","Allow","Outbound"
"{39B78F74-9C0C-4373-A668-D53D5D44DC14}","Allow","Outbound"
"{9484F1BC-3EBC-409B-AFAC-0A3E8842F679}","Allow","Outbound"
"{7939FFE2-19CD-4131-B071-E634E2051079}","Allow","Outbound"
"{6C5A584C-271F-42FE-82D4-3438E840A1C4}","Allow","Inbound"
"{CA6F4D83-2098-4B19-9A1A-DF2B05A65DD1}","Allow","Outbound"
"{5FCAC322-DCC2-479A-BD3D-E3DB09F173D2}","Allow","Inbound"
"{47D845AA-AB7A-416E-AF49-9CEA4502DF80}","Allow","Outbound"
"{190FFE03-284E-477B-8AF5-98DC02E27D20}","Allow","Outbound"
"{34B84615-0D54-4F97-9E6E-D3FDEE4D30A2}","Allow","Inbound"
"{F7A50AAA-2238-4712-8E82-E4A74DBCCDAE}","Allow","Outbound"
"{30B983EE-E669-470D-9C9E-70F51CBE400A}","Allow","Outbound"
"{8816CFD4-1091-4D63-A0DC-BFDD11435F3A}","Allow","Outbound"
"{EE8FCDD2-4482-4A5C-9323-183B03D4ECEF}","Allow","Outbound"
"{F5D1A301-8D61-472D-977B-D3B42F6D83B4}","Allow","Outbound"
"{6B50BBD1-C45A-490B-9911-10DE40AA8499}","Allow","Inbound"
"{CAD0A099-AD99-46D1-80F0-70288AC9A732}","Allow","Outbound"
"{C7AF9DF1-67E8-4309-AAC6-E5C626F1051B}","Allow","Outbound"
